frame_index,left_toe_speed,right_toe_speed,left_ankle_speed,right_ankle_speed,left_knee_speed,right_knee_speed,left_toe_vertical_delta,right_toe_vertical_delta,toe_tapping_rate_proxy,toe_lr_asymmetry
1,4680.2817,4793.935,4755.317,4869.2026,4643.9937,4905.3135,3.5062866,2.8510132,4737.1084,0.02399213
2,5210.935,5419.459,5234.231,5380.9014,5246.029,5386.3354,11.183044,11.494019,5315.1973,0.039231643
3,292.70242,415.43942,307.28815,415.00485,300.14975,343.59174,1.0391846,1.4520874,354.07092,0.34664524
4,586.9183,578.1483,570.8082,555.2588,559.9388,571.1985,0.4194336,0.67285156,582.5333,0.015054861
5,471.88373,467.97415,488.3583,475.8946,487.5725,425.27606,0.9286499,1.3912354,469.92896,0.0083195055
6,5026.031,5117.1553,5213.087,5230.324,5454.989,5356.28,9.702942,10.49176,5071.593,0.017967632
7,279.3069,222.59949,259.67093,241.28711,255.87062,279.09802,1.6254272,1.4287109,250.95319,0.22596803
8,174.42493,166.69992,115.80325,157.6213,234.59795,336.96225,1.6097412,1.4484253,170.56242,0.04529137
9,3719.5886,3807.258,3846.3718,3901.0195,3941.2756,3948.3384,8.996155,9.077698,3763.4233,0.023295129
10,2332.7727,2407.6284,2351.447,2410.1038,2384.962,2386.193,7.123108,7.00885,2370.2007,0.031582016
11,210.65848,245.76854,266.31522,267.6497,305.62805,273.83246,2.0072021,1.8755493,228.2135,0.15384744
12,17138.523,16932.523,17444.342,17280.346,17707.523,17517.111,39.90857,39.50403,17035.523,0.012092379
13,6384.356,6254.01,6499.775,6400.3936,6604.1167,6457.966,10.851135,10.592957,6319.1826,0.020627065
14,1749.0387,1856.3287,1825.0524,1894.9462,1814.4508,1917.9952,6.3654785,6.397217,1802.6837,0.05951684
15,3228.2031,3165.8806,3325.4666,3286.663,3432.6775,3377.2942,5.7123413,5.4727783,3197.042,0.019493803
16,279.0022,64.50584,194.43904,90.22141,191.31015,145.9269,0.0680542,0.066345215,171.75401,1.248858
17,1128.731,1213.4181,1174.7797,1239.9142,1200.4991,1248.9636,2.0361328,2.9368286,1171.0745,0.07231575
18,5374.4976,5257.8086,5470.5664,5408.8945,5603.9897,5537.712,10.490234,11.040466,5316.1533,0.021949887
19,610.6897,486.5378,642.9502,534.577,688.1536,523.2171,1.7546387,1.8972778,548.6138,0.22630107
20,1621.922,1717.9814,1663.9757,1732.8018,1645.5732,1717.7758,3.3051758,3.1460571,1669.9517,0.057522293
21,2068.2288,1943.6328,2103.407,2055.1013,2104.8535,2003.533,3.5584717,3.3951416,2005.9308,0.06211378
22,2442.2937,2009.7333,2532.254,2149.7258,2557.947,2347.824,1.5819702,1.473999,2226.0134,0.19432068
23,313.36777,258.85037,336.5294,295.1406,379.9361,334.04056,0.3569336,0.15240479,286.10907,0.1905476
24,7932.8105,8227.744,8111.1323,8328.222,8200.974,8260.409,16.959229,16.816772,8080.2773,0.036500428
25,5215.621,5257.185,5385.361,5394.715,5463.3735,5386.229,4.4526978,3.427002,5236.4033,0.007937502
26,2584.7534,2546.3079,2679.445,2605.8533,2743.3494,2729.8918,0.97558594,0.7545166,2565.5308,0.01498542
27,1628.935,1757.4191,1681.7306,1783.016,1738.3948,1804.0785,4.6066895,4.968811,1693.177,0.07588339
28,122.40551,234.13521,129.56215,200.91895,150.70255,180.05266,1.5120239,1.1126709,178.27036,0.626743
29,3199.3267,3127.487,3358.732,3289.353,3346.764,3325.8745,5.694214,5.6222534,3163.4067,0.022709567
30,3878.1614,3812.2344,4044.1228,3984.308,4016.6265,3987.745,4.890869,5.263794,3845.1978,0.017145282
31,1604.2286,1490.9829,1601.2269,1530.1876,1602.9336,1562.1406,3.815918,4.0756226,1547.6057,0.07317479
32,303.85742,389.73282,314.89822,385.2983,277.21518,327.63016,0.5204468,0.08453369,346.7951,0.24762575
33,198.82272,234.99817,344.08322,321.0076,424.51978,405.103,0.6779175,1.019104,216.91045,0.16677594
34,332.7297,302.5118,359.12802,290.80463,455.78055,450.02536,1.0609131,0.95806885,317.62076,0.09513829
35,1328.6127,1290.2456,1345.1909,1323.4038,1358.9783,1291.2686,4.3362427,4.669739,1309.4292,0.029300604
36,5397.39,5145.6885,5386.0986,5234.136,5489.4688,5277.8667,11.728516,12.0529785,5271.539,0.04774728
37,3800.9502,3554.9438,3791.3584,3614.9094,3829.2227,3594.136,3.9846191,4.150635,3677.947,0.066886865
38,312.19254,427.41626,391.4502,456.23105,435.48828,513.30414,1.0716553,0.9112549,369.80438,0.3115802
39,610.5108,568.9628,579.2599,561.587,603.47485,578.8534,1.5161133,1.8529053,589.7368,0.07045172
40,215.53201,201.48941,276.03882,231.3254,295.1959,255.57487,1.0800171,1.1367798,208.51071,0.067347154
41,2495.3643,2429.46,2554.071,2519.9958,2606.845,2563.405,8.005249,8.194702,2462.412,0.02676412
42,488.97983,467.79083,466.3956,450.01547,523.6259,466.3693,3.4231567,3.1467285,478.3853,0.044292737
43,1615.443,1555.5092,1597.2637,1546.8086,1571.6863,1571.119,3.8532715,3.8566284,1585.4761,0.03780179
44,533.9483,619.52167,569.1025,620.3961,577.4453,643.6512,0.18719482,0.015930176,576.735,0.14837554
45,766.3786,737.29553,677.4285,665.65625,547.83014,487.96606,2.196106,1.7962036,751.83704,0.038682677
46,1278.0023,1319.5198,1301.7028,1354.6503,1359.0643,1378.316,2.796814,2.972412,1298.761,0.031966973
47,1305.7235,1212.5204,1352.859,1295.0563,1375.501,1284.0084,1.2979736,1.1133423,1259.122,0.074022315
48,7332.723,6997.957,7369.727,7093.843,7318.22,7139.556,12.051636,12.28009,7165.34,0.0467202
49,5256.716,5023.086,5228.589,5052.0376,5258.166,5104.6655,8.50946,9.436096,5139.901,0.04545416
50,999.2515,904.7595,1101.556,1020.9327,1155.0457,1096.5903,0.5927124,1.1948853,952.0055,0.09925573
51,2987.785,2899.0862,2998.937,2944.1252,2871.5732,2845.1904,9.282166,8.810974,2943.4355,0.030134423
52,4316.278,4190.552,4426.333,4332.49,4500.62,4374.6475,5.0567017,5.0463257,4253.415,0.029558854
53,1389.8915,1340.3466,1419.5663,1425.1246,1335.4556,1350.1321,3.9449463,3.847046,1365.119,0.03629348
54,698.2907,601.68823,759.10645,671.2213,746.30927,682.0963,0.028076172,0.24542236,649.9895,0.1486216
55,1651.6436,1678.6816,1713.0391,1726.8218,1692.3877,1723.5826,3.7944946,3.6625366,1665.1626,0.016237505
56,1641.9778,1691.6411,1633.1774,1699.2192,1564.1838,1719.3317,3.0754395,2.3588867,1666.8094,0.029795446
57,560.1447,576.8435,563.7297,580.28015,650.62445,518.56335,2.3277588,1.3650513,568.49414,0.029373726
58,1323.7996,1360.4366,1352.97,1378.1804,1285.0538,1308.2173,1.7620239,1.5405273,1342.1182,0.027297957
59,1390.8826,1424.2705,1484.6417,1491.0621,1538.1337,1539.4377,0.9379883,0.496521,1407.5765,0.023720158
60,8362.776,7876.219,8484.118,8121.909,8421.642,7929.944,9.335266,9.572144,8119.498,0.05992453
61,4911.35,4611.0703,4885.522,4657.599,4914.9316,4607.39,2.9607544,4.3275146,4761.21,0.06306796
62,2650.4448,2316.372,2703.4404,2470.5222,2730.5315,2514.3162,0.28363037,0.9143677,2483.4084,0.13452187
63,979.5675,918.0865,972.9107,948.38324,1040.3326,986.99585,1.0534058,1.4602661,948.827,0.064796865
64,933.94867,967.9231,968.1086,1003.7382,977.7798,1024.5455,0.8740845,1.0473633,950.9359,0.035727356
